,title,description,originallink,link,pubDate
152,'우영우' 예상 밖의 돌풍…작품만 좋으면 성공하는 콘텐츠 시대,변호사 <b>우영우</b>&apos;(이하 &apos;<b>우영우</b>&apos;)의 성공은 방송가에 새로운 바람을 일으켰다. 18일 방송가에서는 &apos;<b>우영우</b>&apos;의 인기를 두고 작품만 좋으면 어떤 채널에 편성이 되든 &apos;대박&apos;을 터트릴 수 있는 시대가 왔다는 기대감이 나오고... ,https://www.yna.co.kr/view/AKR20220817165700005?input=1195m,https://n.news.naver.com/mnews/article/001/0013381925?sid=103,"Thu, 18 Aug 2022 07:01:00 +0900"
153,"'우영우' 박은빈, 변호사 그만둘까…백지원, 전배수에 ""잠깐 숨어 있어"" [어저...",17일 방송된 ENA 드라마 ‘이상한 변호사 <b>우영우</b>&apos;에서는 한바다 대표 한선영(백지원)이 <b>우영우</b>(박은빈)의 아버지 우광호를 만나는 모습이 그려졌다. 앞서 한선영은 태수미(진경)가 법무무장관으로 임명될 것을 경계하면서... ,http://www.osen.co.kr/article/G1111921413,https://n.news.naver.com/mnews/article/109/0004680391?sid=106,"Thu, 18 Aug 2022 06:58:00 +0900"
154,오늘 종영 ‘우영우’…숫자로 본 50일 성장기,자폐 스펙트럼 장애를 가진 변호사 <b>우영우</b>의 성장기로 국내외 인기를 끈 ENA 드라마 ‘이상한 변호사 <b>우영우</b>’(<b>우영우</b>)가 18일 막을 내린다. ‘<b>우영우</b>’는 0.6%의 낮은 시청률로 첫 방송했지만 이후 무려 25배 이상... ,https://sports.donga.com/article/all/20220817/115003094/3,https://n.news.naver.com/mnews/article/382/0000998675?sid=106,"Thu, 18 Aug 2022 06:58:00 +0900"
155,"하윤경·주종혁, 박은빈 두고 갈등…""동료 위해 용감해질 수 없냐"" (우영우)[...","&apos;<b>우영우</b>&apos; 주종혁이 최수연을 위해 나섰다. 17일 방송된 ENA채널 수목드라마 &apos;이상한 변호사 <b>우영우</b>&apos;(이하 &apos;<b>우영우</b>&apos;)에서는 <b>우영우</b>(박은빈 분)을 두고 갈등하는 최수연(하윤경), 권민우(주종혁)의 모습이 그려졌다. 앞서... ",https://www.xportsnews.com/article/1618946,https://n.news.naver.com/mnews/article/311/0001489769?sid=106,"Thu, 18 Aug 2022 06:51:00 +0900"
156,재난방송보다 빠르고 정확했던 '네이버 호우'…집단소통의 힘,"실제 이상한 변호사 <b>우영우</b>, 스물다섯 스물하나 등 올해 인기 드라마에 약 36만 명의 사용자(중복 포함)들이 누적 500만 개 이상의 채팅을 남겼다. 2년 전 종영한 ‘미스터트롯’의 톡에는 현재까지도 팬들이 찾아와... ",http://www.newsis.com/view/?id=NISX20220817_0001981832&cID=13005&pID=13100,https://n.news.naver.com/mnews/article/003/0011369111?sid=105,"Thu, 18 Aug 2022 06:29:00 +0900"
157,"'우영우' 오늘(18일) 종영…박은빈x강태오, 고래커플은?[MK프리뷰]","&apos;<b>우영우</b>&apos;가 오늘(18일) 종영한다. 박은빈, 강태오 고래 커플의 결말을 비롯한 엔딩이 주목된다. 지난 17일 방송된 ENA 수목드라마 ‘이상한 변호사 <b>우영우</b>&apos;(극본 문지원, 연출 유인식)에서는 제주도에서 헤어진 <b>우영우</b>(박은빈... ",http://star.mk.co.kr/new/view.php?mc=ST&year=2022&no=729296,https://n.news.naver.com/mnews/article/009/0005005751?sid=106,"Thu, 18 Aug 2022 06:15:00 +0900"
158,"김호영 ""박은빈 덕분에 계 탔다"" '태왕사신기' 아역 시절 소환 (라디오스타)","그는 “요즘 ‘<b>우영우</b>’로 박은빈이 대세인데 ‘태왕사신기’ 때에도 아역들이 인기가 많았다”라고 전했다. “당시 배용준 아역으로 유승호, 문소리 아역으로 박은빈, 이지아 아역으로 심은경, 윤태영 아역을 제가... ",http://www.sportsseoul.com/news/read/1151822?ref=naver,https://n.news.naver.com/mnews/article/468/0000874671?sid=106,"Thu, 18 Aug 2022 06:14:00 +0900"
159,"태수미 친아들, 드디어 등장…'우영우'에 누나라 부른 그 사람?",드라마 &apos;이상한 변호사 <b>우영우</b>&apos;에서 태수미(진경)의 아들 역을 맡은 최현진 군의 사진이 공개됐다. 18일... 이날 최현진 군은 &apos;이상한 변호사 <b>우영우</b>&apos; 15회에 등장했으며 <b>우영우</b>(박은빈)를 만나 누나라고 부르는 모습이... ,http://www.osen.co.kr/article/G1111921422,https://n.news.naver.com/mnews/article/109/0004680385?sid=106,"Thu, 18 Aug 2022 06:12:00 +0900"
160,법률칼럼 이상한 변호사 우영우 시청 후 단상,이준석 변호사/의사(법무법인 담헌) 최근 &apos;이상한 변호사 <b>우영우</b>&apos;라는 드라마가 높은 시청률을 자랑하면서... 그러다 보니 &apos;이상한 변호사 <b>우영우</b>&apos;라는 드라마 역시 변호사 이름부터 국정농단에 연루되어 감옥을 갔던... ,http://www.doctorsnews.co.kr/news/articleView.html?idxno=145760,http://www.doctorsnews.co.kr/news/articleView.html?idxno=145760,"Thu, 18 Aug 2022 06:04:00 +0900"
161,종영 D-day ‘이상한 변호사 우영우’ 박은빈이 일 냈다 [TV보고서],&apos;이상한 변호사 <b>우영우</b>&apos;가 종영까지 1회만을 남겨두고 있다. ENA채널 수목드라마 &apos;이상한 변호사 <b>우영우</b>&apos;(극본 문지원/연출 유인식)는 천재적인 두뇌와 자폐스펙트럼을 동시에 가진 대형 로펌 한바다 신입 변호사 <b>우영우</b>가... ,https://www.newsen.com/news_view.php?uid=202208170937212410,https://n.news.naver.com/mnews/article/609/0000616407?sid=106,"Thu, 18 Aug 2022 06:02:00 +0900"
