,title,description,originallink,link,pubDate
85,"아이유, 'NB 쉬프티드 라인' 여성 컬렉션 화보공개",앰배서더 <b>아이유</b>와 함께한 화보를 선보인다. 신규 라인 여성 컬렉션은 뉴발란스의 아카이브에서 찾은... 또한 발매를 기념해 <b>아이유</b>와 함께한 화보는 &apos;Colorful Emotions&apos; 이라는 콘셉트로 진행됐다. <b>아이유</b>는 음악을... ,http://www.slist.kr/news/articleView.html?idxno=377177,http://www.slist.kr/news/articleView.html?idxno=377177,"Wed, 17 Aug 2022 08:16:00 +0900"
86,"마음을 담은 편지, 편지를 담은 노래[우정이야기]",“이 밤 그날의 반딧불을 당신의/ 창 가까이 보낼게요/ 사랑한다는 말이에요.” 가수 <b>아이유</b>의 노래 ‘밤편지’는 사랑하는 사람에게 자신의 마음을 글로 쓴 편지를 보내듯 전달하고 싶다는 내용을 담고 있다. 첫... ,http://weekly.khan.co.kr/khnm.html?mode=view&code=114&artid=202208161436031,https://n.news.naver.com/mnews/article/033/0000044474?sid=101,"Wed, 17 Aug 2022 08:07:00 +0900"
87,"아이유·임영웅→BTS, '공연의 神'들의 신기록 행진[SS연예프리즘]","콘서트를 앞둔 방탄소년단(BTS)부터 <b>아이유</b>, 임영웅, NCT DREAM(NCT 드림) 등이 각자의 자리에서 신기록을... <b>아이유</b>와 임영웅은 각각 솔로 가수로서 신기록을 세우고 있다. 먼저 첫 단독 전국 투어 콘서트 ‘아임 히어로’... ",http://www.sportsseoul.com/news/read/1151152?ref=naver,https://n.news.naver.com/mnews/article/468/0000874191?sid=106,"Wed, 17 Aug 2022 06:01:00 +0900"
88,"'미스터리 듀엣' 홍경민, 아이유와의 듀엣? ""할 수 있다면 무조건 해야지"" 폭...","그러자 홍경민은 일초의 망설임도 없이 후배 가수 <b>아이유</b>를 언급했다. 홍경민은 그 이유에 대해 &quot;할 수 있다면 무조건 해야지, 무슨 소리야&quot;라고 말해 폭소를 자아냈다. 한편 MBN 음악 프로그램 &apos;미스터리 듀엣&apos;은 원통형... ",http://www.newsinside.kr/news/articleView.html?idxno=1140421,http://www.newsinside.kr/news/articleView.html?idxno=1140421,"Wed, 17 Aug 2022 04:50:00 +0900"
89,"임영웅· 아이유 '팬 서비스 가장 잘해주는 것 같은 스타' 1,2위 차지","네티즌들이 팬 서비스 가장 잘해주는 것 같은 스타로 임영웅, <b>아이유</b>를 뽑았다. 커뮤니티 포털사이트... 2위는 1,654(15%)표로 <b>아이유</b>가 차지했다. 과거 10주년 팬미팅에서 고등학생 팬의 소원으로 해당 학교의 졸업식을... ",http://www.joygm.com/news/articleView.html?idxno=98966,http://www.joygm.com/news/articleView.html?idxno=98966,"Wed, 17 Aug 2022 00:34:00 +0900"
90,"“임영웅·아이유씨, 주제파악해줘” 호소 나온 이유, 악평 아닌 ‘애정’",그간 온라인에서는 가수 임영웅·<b>아이유</b>를 향해 &quot;주제 파악 좀 해달라&quot;는 식의 애정 섞인 &apos;잔소리&apos;가... 가수 <b>아이유</b>에게도 &quot;주제 파악이 필요하다&quot;는 농담조의 말이 따라붙고 있다. <b>아이유</b>는 다음 달 17~18일 올림픽 주... ,http://news.heraldcorp.com/view.php?ud=20220816000841,https://n.news.naver.com/mnews/article/016/0002029163?sid=103,"Tue, 16 Aug 2022 20:37:00 +0900"
91,"임영웅-아이유, 팬 서비스 잘 해줄 것 같은 스타 1·2위 차지","임영웅-<b>아이유</b>, 팬 서비스 잘 해줄 것 같은 스타 1·2위 차지 가수 임영웅이 &apos;팬 서비스 가장 잘해주는 것 같은 스타는?&apos;으로 진행된 투표 결과 1위에 뽑혔다. <b>아이유</b>는 2위를 차지했다. 해당 조사는 커뮤니티 포털사이트... ",http://www.ggilbo.com/news/articleView.html?idxno=928904,http://www.ggilbo.com/news/articleView.html?idxno=928904,"Tue, 16 Aug 2022 19:52:00 +0900"
92,"카카오, 기업집단 설명서 발간…139→134개로 계열사 축소","영화 &apos;헌트&apos; 제작사인 사나이픽처스, &apos;국민요정&apos; <b>아이유</b>의 소속사인 이담엔터테인먼트, 가수 아이브와 몬스타엑스 등의 소속사인 스타쉽엔터테인먼트 등이 여기에 포함된다. &apos;일상의 혁신 위한 디지털 전환 사업&apos; 관련해... ",http://www.newstomato.com/ReadNews.aspx?no=1141379&inflow=N,http://www.newstomato.com/ReadNews.aspx?no=1141379&inflow=N,"Tue, 16 Aug 2022 18:46:00 +0900"
93,"방탄소녀단 슈가, '최고의 근무환경' 직장 동료로 만나고 싶은 스타 1위","또 하성운(3169표), 장민호(2685표), 백호(1469표), 고은성(1072표), <b>아이유</b>(1053표) 순서로 집계됐다. 설문조사의 결과는 아이돌차트 &apos;POLL&apos; 메뉴에서 확인 가능하다. 현재 &apos;늘 완성도 높은 라이브 무대를 보여주는... ",http://www.newsinside.kr/news/articleView.html?idxno=1140388,http://www.newsinside.kr/news/articleView.html?idxno=1140388,"Tue, 16 Aug 2022 18:32:00 +0900"
94,"“난 너의 노래야” 온앤오프, 군대도 막지못한 팬사랑 ‘Your Song’[들어...","&apos;Your Song&apos; 뮤직비디오 연출은 그간 온앤오프뿐 아니라 B1A4(비원에이포), 오마이걸의 대표 히트곡, <b>아이유</b> &apos;Coin&apos;(코인) 뮤직비디오 등을 히트시킨 써니 비주얼 유성균 감독이 맡았다. 수록곡 퀄리티 역시 타이틀곡... ",https://www.newsen.com/news_view.php?uid=202208161541050410,https://n.news.naver.com/mnews/article/609/0000615961?sid=106,"Tue, 16 Aug 2022 18:01:00 +0900"
95,"방탄소년단 슈가, '직장 동료로 매일 만나고 싶은 스타' 1위","뒤를 이어 김재환 (7448표), 홍지윤(4179표), 박창근(3567표), 하성운(3169표), 장민호(2685표), 백호(1469표), 고은성(1072표), <b>아이유</b>(1053표), 정동하(943표), 위아이 김요한(710표), 황우림(700표), 윤지성(691표), 정동원... ",http://www.celuvmedia.com/article.php?aid=1660635399432864005,http://www.celuvmedia.com/article.php?aid=1660635399432864005,"Tue, 16 Aug 2022 16:42:00 +0900"
96,"방탄소년단(BTS) 슈가, ‘직장 동료로 매일 만나고 싶은 스타’ 1위..2위 RM","뒤를 이어 김재환 (7448표), 홍지윤(4179표), 박창근(3567표), 하성운(3169표), 장민호(2685표), 백호(1469표), 고은성(1072표), <b>아이유</b>(1053표), 정동하(943표), 위아이 김요한(710표)... ",http://www.breaknews.com/916323,http://www.breaknews.com/916323,"Tue, 16 Aug 2022 16:40:00 +0900"
97,"아이유, 1억 기부...수해복구 위해 선한 영향력","<b>아이유</b>, 1억 기부...수해복구 위해 선한 영향력 <b>아이유</b> 인스타그램 캡처 가수 겸 배우 <b>아이유</b>(본명 이지은·30)가 집중 호우로 인한 수해 피해 복구에 1억 원을 기부했다. 지난 8일부터 수도권을 비롯한 중부지방과... ",http://www.ggilbo.com/news/articleView.html?idxno=928832,http://www.ggilbo.com/news/articleView.html?idxno=928832,"Tue, 16 Aug 2022 15:10:00 +0900"
98,"임영웅·아이유, ‘팬 서비스 가장 잘해주는 것 같은 스타’ 1·2위 차지..3위...",2위는 1654(15%)표로 가수 겸 배우 <b>아이유</b>가 차지했다. 과거 10주년 팬미팅에서 고등학생 팬의 소원으로 해당 학교의 졸업식을 찾아가기도 했던 <b>아이유</b>는 남다른 팬... ,http://www.breaknews.com/916260,http://www.breaknews.com/916260,"Tue, 16 Aug 2022 15:02:00 +0900"
99,"박재범, 센스 넘치는 디자인 표현… 18일 발매하는 신곡 'Bite' 티저 이미지 ...",<b>아이유</b>)&apos;로 음원 차트에서 롱런을 이어갔다. 지난 7월에는 &apos;Need To Know (니드 투 노우)&apos;를 발매하고 리스너들의 여름 감성을 저격하며 또 한 번 뛰어난 음악적 역량을 입증해왔다. 박재범은 음악 활동 외에도... ,https://tenasia.hankyung.com/music/article/2022081663094,https://n.news.naver.com/mnews/article/312/0000564181?sid=106,"Tue, 16 Aug 2022 14:08:00 +0900"
